Distance_(pixels),Gray_Value
0,6.567
1,9.296
2,6.117
3,8.716
4,10.912
5,12.859
6,12.697
7,15.812
8,16.471
9,22.862
10,27.056
11,32.729
12,40.180
13,53.654
14,79.800
15,117.986
16,178.028
17,246.112
18,308.348
19,399.678
20,446.556
21,475.222
22,522.919
23,525.197
24,546.443
25,555.902
26,552.190
27,590.973
28,576.420
29,598.477
30,602.446
31,568.923
32,548.794
33,544.463
34,534.860
35,537.882
36,562.306
37,582.263
38,556.108
39,551.111
40,568.688
41,532.429
42,560.027
43,560.293
44,550.013
45,555.439
46,557.909
47,571.414
48,570.433
49,567.010
50,503.379
51,439.071
52,366.419
53,285.514
54,206.046
55,132.239
56,91.603
57,64.240
58,49.801
59,30.879
60,28.096
61,22.488
62,17.627
63,12.522
64,13.803
65,14.726
66,12.191
67,11.413
68,11.580
69,10.074
70,9.499
71,4.239
72,4.543
73,9.510
74,11.481
75,11.929
76,13.298
77,8.994
78,8.781
79,7.486
80,5.974
81,4.795
82,9.487
83,7.039
84,4.233
85,8.032
86,8.476
87,14.120
88,15.686
89,8.537
90,10.323
91,16.445
92,13.261
93,13.702
94,11.574
95,21.160
96,33.986
97,36.029
98,37.883
99,51.527
100,79.832
101,115.840
102,162.588
103,226.265
104,307.545
105,373.531
106,413.701
107,459.211
108,501.276
109,513.052
110,541.696
111,566.236
112,575.599
113,571.880
114,583.812
115,583.765
116,585.049
117,563.390
118,557.017
119,568.542
120,566.058
121,560.941
122,577.299
123,585.456
124,562.931
125,546.014
126,554.356
127,578.201
128,572.354
129,589.421
130,572.454
131,548.586
132,557.487
133,552.233
134,567.267
135,555.474
136,510.596
137,466.580
138,398.331
139,317.864
140,252.251
141,184.168
142,114.162
143,70.524
144,54.625
145,36.760
146,21.974
147,21.793
148,18.445
149,17.076
150,16.005
151,16.580
152,16.804
153,16.073
154,13.352
155,9.800
156,8.787
157,5.374
158,7.716
159,8.565
160,7.148
161,10.610
162,6.806
163,5.504
164,9.072
165,10.521
166,9.954
167,10.134
168,13.263
169,11.428
170,10.753
171,11.063
172,11.183
173,10.989
174,10.534
175,9.872
176,10.809
177,15.603
178,14.503
179,12.509
180,15.187
181,19.187
182,22.000
183,27.048
184,38.211
185,48.588
186,65.361
187,89.287
188,115.216
189,176.340
190,258.390
191,303.665
192,346.275
193,430.631
194,482.507
195,477.885
196,505.755
197,542.682
198,560.195
199,558.021
200,558.641
201,586.185
202,592.228
203,559.830
204,556.249
205,569.695
206,564.587
207,565.947
208,567.297
209,557.192
210,554.680
211,560.763
212,567.436
213,564.331
214,550.256
215,541.902
216,542.267
217,556.381
218,559.529
219,558.104
220,559.143
221,552.793
222,544.802
223,496.452
224,412.722
225,343.097
226,274.944
227,197.095
228,125.746
229,80.401
230,60.039
231,44.116
232,33.308
233,31.021
234,25.449
235,21.617
236,17.249
237,12.175
238,11.734
239,8.997
240,7.741
241,12.014
242,12.534
243,10.626
244,9.085
245,7.419
